x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s,t=1.70e+02s,t=1.80e+02s,t=1.90e+02s,t=2.00e+02s,t=2.10e+02s,t=2.20e+02s,t=2.30e+02s,t=2.40e+02s,t=2.50e+02s,t=2.60e+02s,t=2.70e+02s,t=2.80e+02s,t=2.90e+02s,t=3.00e+02s,t=3.10e+02s,t=3.20e+02s,t=3.30e+02s,t=3.40e+02s,t=3.50e+02s,t=3.60e+02s,t=3.70e+02s,t=3.80e+02s,t=3.90e+02s,t=4.00e+02s,t=4.10e+02s,t=4.20e+02s,t=4.30e+02s,t=4.40e+02s,t=4.50e+02s,t=4.60e+02s,t=4.70e+02s,t=4.80e+02s,t=4.90e+02s,t=5.00e+02s
3.030303030303030300e-04,1.103120849823579712e+11,1.130762764260275781e+13,1.818711605301758125e+14,1.170922176477368750e+15,4.448962255284187000e+15,1.214489804061344000e+16,2.660614247018256800e+16,5.000309460869983200e+16,8.411367073795886400e+16,1.302660919067034560e+17,1.893758365614466560e+17,2.620239890344137600e+17,3.485447230174971520e+17,4.491051815190766080e+17,5.637705030534718720e+17,6.925521083952922880e+17,8.354402663285866240e+17,9.924233955533843200e+17,1.163497093199234560e+18,1.348665853231251712e+18,1.547940089353849856e+18,1.761330578821491968e+18,1.988841914024292864e+18,2.230466060632080896e+18,2.486176711597696000e+18,2.755924807389169664e+18,3.039635360708060160e+18,3.337205566706865664e+18,3.648504082346705408e+18,3.973371306162392064e+18,4.311620469229293568e+18,4.663039348888318976e+18,5.027392430593403904e+18,5.404423364126926848e+18,5.793857584237254656e+18,6.195404989766885376e+18,6.608762597894898688e+18,7.033617110302456832e+18,7.469647345488486400e+18,7.916526506051827712e+18,8.373924261658057728e+18,8.841508637878385664e+18,9.318947708429568000e+18,9.805911093875472384e+18,1.030207127387679539e+19,1.080710472287339930e+19,1.132069288089968845e+19,1.184252297227859558e+19,1.237228868539142963e+19,1.290969072672728678e+19
0.000000000000000000e+00,1.100636950432955627e+11,1.128983267120465820e+13,1.816656576277677188e+14,1.169942177242867500e+15,4.446117410649626500e+15,1.213879298943909800e+16,2.659535971639202400e+16,4.998639523770547200e+16,8.409008140009049600e+16,1.302349105244436160e+17,1.893365955563649920e+17,2.619764030687195200e+17,3.484886364631779840e+17,4.490405230246337920e+17,5.636972500028551680e+17,6.924702615159380480e+17,8.353498333661582080e+17,9.923243823170338560e+17,1.163389500120543232e+18,1.348549675694751744e+18,1.547815320319917312e+18,1.761197212582724864e+18,1.988699950254177792e+18,2.230315508165104384e+18,2.486017591607661568e+18,2.755757155804751360e+18,3.039459229826284032e+18,3.337021026044935168e+18,3.648311218819562496e+18,3.973170223696283648e+18,4.311411287928035328e+18,4.662822203864621056e+18,5.027167470566974464e+18,5.404190749877327872e+18,5.793617486984700928e+18,6.195157589539845120e+18,6.608508081930042368e+18,7.033355671510976512e+18,7.469379181012769792e+18,7.916251815928349696e+18,8.373643247595751424e+18,8.841221502156438528e+18,9.318654652914577408e+18,9.805612319155140608e+18,1.030176697850494771e+19,1.080679510271975014e+19,1.132037812859706778e+19,1.184220327675950080e+19,1.237196423150603264e+19,1.290936169493472256e+19
6.060606060606060601e-04,1.129522781800631409e+11,1.149644707910763281e+13,1.840493006386588750e+14,1.181301882513439250e+15,4.479079620767004000e+15,1.220951011187067400e+16,2.672023626798532000e+16,5.017976653747541600e+16,8.436320846258912000e+16,1.305959149949130880e+17,1.897908857642644480e+17,2.625272789715439680e+17,3.491378975677697920e+17,4.497889940845153920e+17,5.645451922026321280e+17,6.934176661993744640e+17,8.363966108505969920e+17,9.934704654314060800e+17,1.164634883957796608e+18,1.349894413738497280e+18,1.549259494060585728e+18,1.762740888030789376e+18,1.990343131081662208e+18,2.232058091962322432e+18,2.487859333108741632e+18,2.757697638943037952e+18,3.041497849072526336e+18,3.339156976559594496e+18,3.650543494407616512e+18,3.975497621287628288e+18,4.313832417232990208e+18,4.665335500904373248e+18,5.029771213901723648e+18,5.406883078514289664e+18,5.796396419118858240e+18,6.198021041446937600e+18,6.611453886484211712e+18,7.036381595934187520e+18,7.472482943577853952e+18,7.919431101432401920e+18,8.376895721497402368e+18,8.844544823330782208e+18,9.322046485025939456e+18,9.809070340682055680e+18,1.030528889147658240e+19,1.081037864023944397e+19,1.132402106123922637e+19,1.184590341793149952e+19,1.237571944186860134e+19,1.291316988597328896e+19
3.030303030303030300e-04,1.103120849823579254e+11,1.130762764260274609e+13,1.818711605301755625e+14,1.170922176477367250e+15,4.448962255284183000e+15,1.214489804061343000e+16,2.660614247018254000e+16,5.000309460869976000e+16,8.411367073795878400e+16,1.302660919067033280e+17,1.893758365614464960e+17,2.620239890344133440e+17,3.485447230174968320e+17,4.491051815190762240e+17,5.637705030534716800e+17,6.925521083952913920e+17,8.354402663285856000e+17,9.924233955533829120e+17,1.163497093199232512e+18,1.348665853231249664e+18,1.547940089353848576e+18,1.761330578821490432e+18,1.988841914024291072e+18,2.230466060632080384e+18,2.486176711597693952e+18,2.755924807389166592e+18,3.039635360708059136e+18,3.337205566706863104e+18,3.648504082346703360e+18,3.973371306162388992e+18,4.311620469229292032e+18,4.663039348888314880e+18,5.027392430593398784e+18,5.404423364126922752e+18,5.793857584237252608e+18,6.195404989766883328e+18,6.608762597894888448e+18,7.033617110302449664e+18,7.469647345488482304e+18,7.916526506051820544e+18,8.373924261658049536e+18,8.841508637878380544e+18,9.318947708429551616e+18,9.805911093875462144e+18,1.030207127387678310e+19,1.080710472287339110e+19,1.132069288089967821e+19,1.184252297227858125e+19,1.237228868539142349e+19,1.290969072672728678e+19
9.090909090909090901e-04,1.171795442414930725e+11,1.179699420493864258e+13,1.875032028699538438e+14,1.197721221615931000e+15,4.526646077968765000e+15,1.231144874049546000e+16,2.690011184648516400e+16,5.045815769081032000e+16,8.475627237212316800e+16,1.311152993733397280e+17,1.904443435427868480e+17,2.633195381902287680e+17,3.500715345753708160e+17,4.508651881592718080e+17,5.657643155023276800e+17,6.947797049770351360e+17,8.379014360422344960e+17,9.951179808658851840e+17,1.166425083070811904e+18,1.351827373741631488e+18,1.551335332132830464e+18,1.764959698769848064e+18,1.992704919171667968e+18,2.234562709356840192e+18,2.490506426248722432e+18,2.760486608671165440e+18,3.044427823885925376e+18,3.342226798521956352e+18,3.653751716264165888e+18,3.978842512946791424e+18,4.317311979674270720e+18,4.668947485644747776e+18,5.033513146330219520e+18,5.410752283633291264e+18,5.800390048476300288e+18,6.202136100282685440e+18,6.615687260333714432e+18,7.040730076125771776e+18,7.476943251224674304e+18,7.923999909656530944e+18,8.381569675733407744e+18,8.849320559642903552e+18,9.326920646439342080e+18,9.814039591577874432e+18,1.031034993013579366e+19,1.081552820964475904e+19,1.132925595825860813e+19,1.185122050101534515e+19,1.238111563739465318e+19,1.291864219337229312e+19
6.060606060606060601e-04,1.129522781800631409e+11,1.149644707910761523e+13,1.840493006386586875e+14,1.181301882513437250e+15,4.479079620767001000e+15,1.220951011187065600e+16,2.672023626798530800e+16,5.017976653747533600e+16,8.436320846258908800e+16,1.305959149949129920e+17,1.897908857642642560e+17,2.625272789715437120e+17,3.491378975677695360e+17,4.497889940845150080e+17,5.645451922026316800e+17,6.934176661993738240e+17,8.363966108505963520e+17,9.934704654314048000e+17,1.164634883957794304e+18,1.349894413738495232e+18,1.549259494060584704e+18,1.762740888030787840e+18,1.990343131081658368e+18,2.232058091962320128e+18,2.487859333108741120e+18,2.757697638943038464e+18,3.041497849072526848e+18,3.339156976559592448e+18,3.650543494407611904e+18,3.975497621287622656e+18,4.313832417232987136e+18,4.665335500904369152e+18,5.029771213901722624e+18,5.406883078514287616e+18,5.796396419118856192e+18,6.198021041446929408e+18,6.611453886484199424e+18,7.036381595934180352e+18,7.472482943577848832e+18,7.919431101432398848e+18,8.376895721497397248e+18,8.844544823330777088e+18,9.322046485025925120e+18,9.809070340682047488e+18,1.030528889147657011e+19,1.081037864023943987e+19,1.132402106123922022e+19,1.184590341793148928e+19,1.237571944186859725e+19,1.291316988597328282e+19
1.212121212121212120e-03,1.232113996317733002e+11,1.222216807699311328e+13,1.923623397645355312e+14,1.220738745246029500e+15,4.593172573422944000e+15,1.245379894031356200e+16,2.715102766549986800e+16,5.084620440995456000e+16,8.530386142475436800e+16,1.318385768996304160e+17,1.913540497899711360e+17,2.644222179714044800e+17,3.513707503954040320e+17,4.523625676519840000e+17,5.674603697174151040e+17,6.966744121989644800e+17,8.399946164768855040e+17,9.974095015298499840e+17,1.168914935813753856e+18,1.354515666611121408e+18,1.554222228179824384e+18,1.768045328979364864e+18,1.995989288866458112e+18,2.238045610955326720e+18,2.494187366014870528e+18,2.764364751130075136e+18,3.048501954780024320e+18,3.346495305353020928e+18,3.658212584390377984e+18,3.983493334680133632e+18,4.322149973680554496e+18,4.673969524051678208e+18,5.038715787195801600e+18,5.416131806745715712e+18,5.805942492797750272e+18,6.207857301681849344e+18,6.621572888556987392e+18,7.046775670225512448e+18,7.483144252891682816e+18,7.930351694092833792e+18,8.388067579854475264e+18,8.855959907518341120e+18,9.333696771973271552e+18,9.820947858498732032e+18,1.031738574941404365e+19,1.082268705449016115e+19,1.133653337686954598e+19,1.185861212726323405e+19,1.238861719963027866e+19,1.292624952153846374e+19
9.090909090909090901e-04,1.171795442414929657e+11,1.179699420493863672e+13,1.875032028699536875e+14,1.197721221615929750e+15,4.526646077968761000e+15,1.231144874049544800e+16,2.690011184648513200e+16,5.045815769081023200e+16,8.475627237212312000e+16,1.311152993733396160e+17,1.904443435427867520e+17,2.633195381902285760e+17,3.500715345753706240e+17,4.508651881592714880e+17,5.657643155023272960e+17,6.947797049770348800e+17,8.379014360422337280e+17,9.951179808658845440e+17,1.166425083070810112e+18,1.351827373741630208e+18,1.551335332132829440e+18,1.764959698769846272e+18,1.992704919171665664e+18,2.234562709356837632e+18,2.490506426248720384e+18,2.760486608671163904e+18,3.044427823885922816e+18,3.342226798521953792e+18,3.653751716264161792e+18,3.978842512946788352e+18,4.317311979674265600e+18,4.668947485644744704e+18,5.033513146330217472e+18,5.410752283633287168e+18,5.800390048476292096e+18,6.202136100282678272e+18,6.615687260333705216e+18,7.040730076125764608e+18,7.476943251224668160e+18,7.923999909656523776e+18,8.381569675733394432e+18,8.849320559642895360e+18,9.326920646439337984e+18,9.814039591577858048e+18,1.031034993013578342e+19,1.081552820964474266e+19,1.132925595825859584e+19,1.185122050101533696e+19,1.238111563739464909e+19,1.291864219337228083e+19
1.515151515151515150e-03,1.312209172735774689e+11,1.278045703077146680e+13,1.986968385249042812e+14,1.250605563553313250e+15,4.679232877638434000e+15,1.263757186593687200e+16,2.747450442696972000e+16,5.134597326229672000e+16,8.600860067032806400e+16,1.327689302697068160e+17,1.925237375946996160e+17,2.658395925274406400e+17,3.530403516199660800e+17,4.542864645952080640e+17,5.696392076217000320e+17,6.991081588189448960e+17,8.426830404531025920e+17,1.000352433402988160e+18,1.172112366773924608e+18,1.357967736522985984e+18,1.557929146552196352e+18,1.772007263026752512e+18,2.000206243401467648e+18,2.242517316566422784e+18,2.498913185271264768e+18,2.769343607484817920e+18,3.053732285264327168e+18,3.351975035818053632e+18,3.663939124680463872e+18,3.989463590454718976e+18,4.328360371423115776e+18,4.680416045938222080e+18,5.045394012814031872e+18,5.423036959065634816e+18,5.813069486232361984e+18,6.215200790503111680e+18,6.629127314323147776e+18,7.054535307220154368e+18,7.491103250867450880e+18,7.938504117855398912e+18,8.396407445417507840e+18,8.864481214714356736e+18,9.342393533522927616e+18,9.829814125628571648e+18,1.032641563417552486e+19,1.083187474897489715e+19,1.134587316954197402e+19,1.186809841664612966e+19,1.239824450558244250e+19,1.293601249436162458e+19
1.212121212121212120e-03,1.232113996317732239e+11,1.222216807699310938e+13,1.923623397645354375e+14,1.220738745246028750e+15,4.593172573422941000e+15,1.245379894031355800e+16,2.715102766549980400e+16,5.084620440995449600e+16,8.530386142475430400e+16,1.318385768996303040e+17,1.913540497899710080e+17,2.644222179714044800e+17,3.513707503954037120e+17,4.523625676519834880e+17,5.674603697174146560e+17,6.966744121989642240e+17,8.399946164768840960e+17,9.974095015298490880e+17,1.168914935813752576e+18,1.354515666611120128e+18,1.554222228179823104e+18,1.768045328979363328e+18,1.995989288866456320e+18,2.238045610955326720e+18,2.494187366014867968e+18,2.764364751130074112e+18,3.048501954780021248e+18,3.346495305353015296e+18,3.658212584390376448e+18,3.983493334680128512e+18,4.322149973680549376e+18,4.673969524051674112e+18,5.038715787195797504e+18,5.416131806745713664e+18,5.805942492797744128e+18,6.207857301681845248e+18,6.621572888556974080e+18,7.046775670225506304e+18,7.483144252891673600e+18,7.930351694092826624e+18,8.388067579854466048e+18,8.855959907518332928e+18,9.333696771973265408e+18,9.820947858498719744e+18,1.031738574941403341e+19,1.082268705449014272e+19,1.133653337686953165e+19,1.185861212726322790e+19,1.238861719963027046e+19,1.292624952153845760e+19
