x,t=2.00e+05s,t=4.00e+05s,t=6.00e+05s,t=8.00e+05s,t=1.00e+06s,t=1.20e+06s,t=1.40e+06s,t=1.60e+06s,t=1.80e+06s
3.030303030303030300e-04,1.279162278148520133e+23,2.698509686013292991e+23,4.134907189700271171e+23,5.573390277322548047e+23,7.012128577179968057e+23,8.450898108247877364e+23,9.889671461197340675e+23,1.132844528184484640e+24,1.276721915972652393e+24
0.000000000000000000e+00,1.279162239205301216e+23,2.698509642802230335e+23,4.134907145970129505e+23,5.573390233528910658e+23,7.012128533378556106e+23,8.450898064445515151e+23,9.889671417394863035e+23,1.132844523804234997e+24,1.276721911592402347e+24
6.060606060606060601e-04,1.279162689923249141e+23,2.698510142914949609e+23,4.134907652090517164e+23,5.573390740384166550e+23,7.012129040323737205e+23,8.450898571401699420e+23,9.889671924352400218e+23,1.132844574500005358e+24,1.276721962288174722e+24
3.030303030303030300e-04,1.279162278148518456e+23,2.698509686013288964e+23,4.134907189700267145e+23,5.573390277322542678e+23,7.012128577179960004e+23,8.450898108247871995e+23,9.889671461197331279e+23,1.132844528184483566e+24,1.276721915972649977e+24
9.090909090909090901e-04,1.279163337552368742e+23,2.698510861518428942e+23,4.134908379326294230e+23,5.573391468675854615e+23,7.012129768744636677e+23,8.450899299838416451e+23,9.889672652791044616e+23,1.132844647343893554e+24,1.276722035132065603e+24
6.060606060606060601e-04,1.279162689923246960e+23,2.698510142914947931e+23,4.134907652090512466e+23,5.573390740384157155e+23,7.012129040323730494e+23,8.450898571401694051e+23,9.889671924352390823e+23,1.132844574500003747e+24,1.276721962288173380e+24
1.212121212121212120e-03,1.279164237763735695e+23,2.698511860384581141e+23,4.134909390191397563e+23,5.573392481008678464e+23,7.012130781257065992e+23,8.450900312372821235e+23,9.889673665328139123e+23,1.132844748597635620e+24,1.276722136385812500e+24
9.090909090909090901e-04,1.279163337552367232e+23,2.698510861518426593e+23,4.134908379326289533e+23,5.573391468675848575e+23,7.012129768744631308e+23,8.450899299838411082e+23,9.889672652791035220e+23,1.132844647343892883e+24,1.276722035132064529e+24
1.515151515151515150e-03,1.279165392910125367e+23,2.698513142123699424e+23,4.134910687327443443e+23,5.573393780028090991e+23,7.012132080506945122e+23,8.450901611650907562e+23,9.889674964609684241e+23,1.132844878525831471e+24,1.276722266314013585e+24
1.212121212121212120e-03,1.279164237763735024e+23,2.698511860384577450e+23,4.134909390191394208e+23,5.573392481008675109e+23,7.012130781257060623e+23,8.450900312372815866e+23,9.889673665328131070e+23,1.132844748597635620e+24,1.276722136385811695e+24
1.818181818181818180e-03,1.279166803695513098e+23,2.698514707516493083e+23,4.134912271524481708e+23,5.573395366525280872e+23,7.012133667285605684e+23,8.450903198464009736e+23,9.889676551426994141e+23,1.132845037207615611e+24,1.276722424995803900e+24
1.515151515151515150e-03,1.279165392910124864e+23,2.698513142123696069e+23,4.134910687327438745e+23,5.573393780028089649e+23,7.012132080506945122e+23,8.450901611650900851e+23,9.889674964609669477e+23,1.132844878525830665e+24,1.276722266314012243e+24
2.121212121212120993e-03,1.279168470406330088e+23,2.698516556880276315e+23,4.134914143103585993e+23,5.573397240821784122e+23,7.012135541914633356e+23,8.450905073133733565e+23,9.889678426101694763e+23,1.132845224675146071e+24,1.276722612463342010e+24
1.818181818181818180e-03,1.279166803695513098e+23,2.698514707516493419e+23,4.134912271524481036e+23,5.573395366525283556e+23,7.012133667285607027e+23,8.450903198464011078e+23,9.889676551426996825e+23,1.132845037207615745e+24,1.276722424995803363e+24
2.424242424242424240e-03,1.279170393181719689e+23,2.698518690368841497e+23,4.134916302220338135e+23,5.573399403073402695e+23,7.012137704549862972e+23,8.450907235815911200e+23,9.889680588789620943e+23,1.132845440944008214e+24,1.276722828732213548e+24
