x,t=3.67e+06s,t=7.34e+06s,t=1.10e+07s,t=1.47e+07s,t=1.84e+07s,t=2.20e+07s,t=2.57e+07s,t=2.94e+07s,t=3.30e+07s
3.030303030303030300e-04,2.623550594768877012e+24,5.265004146168959997e+24,7.906591976848090989e+24,1.054818081932766222e+25,1.318976966943289849e+25,1.583135851959638526e+25,1.847294736975987632e+25,2.111453621992357354e+25,2.375612507008734377e+25
0.000000000000000000e+00,2.623550590418538461e+24,5.265004141788929800e+24,7.906591972467827790e+24,1.054818081494739043e+25,1.318976966505263529e+25,1.583135851521612635e+25,1.847294736537962386e+25,2.111453621554331248e+25,2.375612506570708272e+25
6.060606060606060601e-04,2.623550640768132982e+24,5.265004192482112041e+24,7.906592023163588084e+24,1.054818086564317220e+25,1.318976971574842995e+25,1.583135856591191456e+25,1.847294741607539918e+25,2.111453626623909211e+25,2.375612511640285375e+25
3.030303030303030300e-04,2.623550594768874328e+24,5.265004146168954628e+24,7.906591976848081325e+24,1.054818081932764719e+25,1.318976966943287702e+25,1.583135851959637667e+25,1.847294736975986128e+25,2.111453621992357354e+25,2.375612507008733948e+25
9.090909090909090901e-04,2.623550713114605983e+24,5.265004265322272742e+24,7.906592096007457490e+24,1.054818093848706523e+25,1.318976978859231438e+25,1.583135863875580330e+25,1.847294748891929221e+25,2.111453633908299158e+25,2.375612518924677040e+25
6.060606060606060601e-04,2.623550640768130834e+24,5.265004192482105598e+24,7.906592023163580568e+24,1.054818086564316361e+25,1.318976971574840847e+25,1.583135856591189953e+25,1.847294741607538845e+25,2.111453626623909211e+25,2.375612511640284946e+25
1.212121212121212120e-03,2.623550813676939113e+24,5.265004366570832125e+24,7.906592197261162243e+24,1.054818103974081830e+25,1.318976988984606101e+25,1.583135874000955637e+25,1.847294759017304099e+25,2.111453644033673821e+25,2.375612529050050415e+25
9.090909090909090901e-04,2.623550713114604910e+24,5.265004265322266300e+24,7.906592096007448900e+24,1.054818093848705234e+25,1.318976978859230365e+25,1.583135863875579256e+25,1.847294748891928577e+25,2.111453633908297869e+25,2.375612518924674034e+25
1.515151515151515150e-03,2.623550942717927999e+24,5.265004496492382722e+24,7.906592327189318500e+24,1.054818116966901643e+25,1.318977001977426129e+25,1.583135886993774806e+25,1.847294772010123697e+25,2.111453657026495781e+25,2.375612542042870657e+25
1.212121212121212120e-03,2.623550813676937503e+24,5.265004366570827830e+24,7.906592197261155801e+24,1.054818103974080541e+25,1.318976988984604813e+25,1.583135874000954348e+25,1.847294759017304314e+25,2.111453644033671244e+25,2.375612529050048697e+25
1.818181818181818180e-03,2.623551100316167858e+24,5.265004655166049642e+24,7.906592485871043853e+24,1.054818132835080943e+25,1.318977017845605644e+25,1.583135902861955180e+25,1.847294787878303641e+25,2.111453672894674652e+25,2.375612557911049528e+25
1.515151515151515150e-03,2.623550942717924778e+24,5.265004496492374132e+24,7.906592327189312058e+24,1.054818116966900784e+25,1.318977001977424411e+25,1.583135886993774162e+25,1.847294772010122838e+25,2.111453657026491916e+25,2.375612542042868939e+25
2.121212121212120993e-03,2.623551286503598750e+24,5.265004842623986085e+24,7.906592673338518344e+24,1.054818151581834298e+25,1.318977036592358569e+25,1.583135921608708105e+25,1.847294806625056996e+25,2.111453691641426503e+25,2.375612576657804815e+25
1.818181818181818180e-03,2.623551100316166247e+24,5.265004655166046421e+24,7.906592485871043853e+24,1.054818132835081158e+25,1.318977017845605644e+25,1.583135902861954106e+25,1.847294787878303856e+25,2.111453672894673363e+25,2.375612557911050387e+25
2.424242424242424240e-03,2.623551501295702961e+24,5.265005058881779560e+24,7.906592889607310157e+24,1.054818173208722284e+25,1.318977058219247629e+25,1.583135943235596950e+25,1.847294828251945412e+25,2.111453713268315133e+25,2.375612598284691298e+25
2.121212121212120993e-03,2.623551286503595529e+24,5.265004842623982864e+24,7.906592673338503312e+24,1.054818151581833439e+25,1.318977036592358140e+25,1.583135921608705957e+25,1.847294806625056352e+25,2.111453691641425644e+25,2.375612576657801809e+25
2.727272727272727487e-03,2.623551744700909361e+24,5.265005303947915849e+24,7.906593134685895409e+24,1.054818197716590150e+25,1.318977082727115925e+25,1.583135967743465246e+25,1.847294852759812634e+25,2.111453737776183644e+25,2.375612622792561527e+25
2.424242424242424240e-03,2.623551501295700276e+24,5.265005058881775265e+24,7.906592889607292977e+24,1.054818173208721210e+25,1.318977058219245052e+25,1.583135943235593514e+25,1.847294828251944123e+25,2.111453713268311697e+25,2.375612598284687862e+25
3.030303030303030300e-03,2.623552016724201189e+24,5.265005577827395368e+24,7.906593408579298138e+24,1.054818225105941698e+25,1.318977110116466399e+25,1.583135995132814860e+25,1.847294880149164396e+25,2.111453765165534118e+25,2.375612650181910712e+25
2.727272727272727487e-03,2.623551744700909361e+24,5.265005303947910481e+24,7.906593134685894335e+24,1.054818197716589721e+25,1.318977082727114851e+25,1.583135967743464387e+25,1.847294852759812849e+25,2.111453737776183644e+25,2.375612622792561097e+25
3.333333333333333114e-03,2.623552317368716453e+24,5.265005880523384582e+24,7.906593711290678367e+24,1.054818255377090028e+25,1.318977140387616018e+25,1.583136025403963835e+25,1.847294910420313801e+25,2.111453795436684381e+25,2.375612680453060975e+25
3.030303030303030300e-03,2.623552016724200115e+24,5.265005577827397516e+24,7.906593408579298138e+24,1.054818225105941698e+25,1.318977110116465969e+25,1.583135995132815934e+25,1.847294880149164611e+25,2.111453765165534118e+25,2.375612650181911141e+25
3.636363636363636360e-03,2.623552646636537677e+24,5.265006212037969770e+24,7.906594042822112712e+24,1.054818288530246670e+25,1.318977173540771800e+25,1.583136058557121765e+25,1.847294943573471945e+25,2.111453828589840593e+25,2.375612713606216328e+25
3.333333333333333114e-03,2.623552317368714842e+24,5.265005880523380287e+24,7.906593711290664408e+24,1.054818255377089599e+25,1.318977140387614729e+25,1.583136025403962762e+25,1.847294910420311653e+25,2.111453795436680516e+25,2.375612680453057969e+25
3.939393939393939607e-03,2.623553004529097231e+24,5.265006572372586526e+24,7.906594403175045356e+24,1.054818324565554645e+25,1.318977209576079346e+25,1.583136094592427163e+25,1.847294979608778631e+25,2.111453864625148353e+25,2.375612749641525377e+25
3.636363636363636360e-03,2.623552646636535529e+24,5.265006212037965475e+24,7.906594042822100901e+24,1.054818288530245167e+25,1.318977173540770512e+25,1.583136058557120692e+25,1.847294943573468724e+25,2.111453828589836728e+25,2.375612713606214181e+25
4.242424242424241987e-03,2.623553391047411413e+24,5.265006961528250609e+24,7.906594792350485615e+24,1.054818363483113381e+25,1.318977248493638511e+25,1.583136133509987403e+25,1.847295018526336509e+25,2.111453903542706445e+25,2.375612788559083469e+25
