x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s,t=1.70e+02s,t=1.80e+02s,t=1.90e+02s
3.030303030303030300e-04,1.276720445122203970e+24,1.276687831340588571e+24,1.276548278323073495e+24,1.276149429153855873e+24,1.275251148765573480e+24,1.273537933002083297e+24,1.270651778433711228e+24,1.266234999552555474e+24,1.259971273727600530e+24,1.251616498116534632e+24,1.241015870692831659e+24,1.228107698529511963e+24,1.212916857251848899e+24,1.195541644313979179e+24,1.176137501545643450e+24,1.154900286190447061e+24,1.132050854399264132e+24,1.107821917167706719e+24,1.082447525933829054e+24
0.000000000000000000e+00,1.276720447060627669e+24,1.276687874160851750e+24,1.276548461579427578e+24,1.276149952962521685e+24,1.275252328574547244e+24,1.273540183312236431e+24,1.270655569629820651e+24,1.266240801650910580e+24,1.259979502438931472e+24,1.251627474286826081e+24,1.241029797842178227e+24,1.228124657832564691e+24,1.212936816120501014e+24,1.195564473665178229e+24,1.176162997187141836e+24,1.154928190802947171e+24,1.132080877795947789e+24,1.107853753568789331e+24,1.082480867786012569e+24
6.060606060606060601e-04,1.276720424368860792e+24,1.276687377214808978e+24,1.276546335963762064e+24,1.276143879255692625e+24,1.275238652049848743e+24,1.273514103374267002e+24,1.270611640329969693e+24,1.266173583168895799e+24,1.259884185257499301e+24,1.251500348168584898e+24,1.240868511189010534e+24,1.227928275203028395e+24,1.212705718446251454e+24,1.195300158110899267e+24,1.175867829501895670e+24,1.154605150885587882e+24,1.131733325274097327e+24,1.107485227967011042e+24,1.082094928697721623e+24
3.030303030303030300e-04,1.276720445122203433e+24,1.276687831340587497e+24,1.276548278323074031e+24,1.276149429153855873e+24,1.275251148765572675e+24,1.273537933002082223e+24,1.270651778433711228e+24,1.266234999552556011e+24,1.259971273727600262e+24,1.251616498116533022e+24,1.241015870692831927e+24,1.228107698529511426e+24,1.212916857251848899e+24,1.195541644313978911e+24,1.176137501545642511e+24,1.154900286190447598e+24,1.132050854399263730e+24,1.107821917167706719e+24,1.082447525933828652e+24
9.090909090909090901e-04,1.276720390637688472e+24,1.276686655636273982e+24,1.276543255871323969e+24,1.276135089455130365e+24,1.275218879986824980e+24,1.273476433031003032e+24,1.270548236327810580e+24,1.266076629252081552e+24,1.259746780718151229e+24,1.251317179249162503e+24,1.240636220431545731e+24,1.227645540901131475e+24,1.212373108780744424e+24,1.194919841986651995e+24,1.175443219956489750e+24,1.154140539391247934e+24,1.131233545220143758e+24,1.106955368073015004e+24,1.081540103992557204e+24
6.060606060606060601e-04,1.276720424368859181e+24,1.276687377214807367e+24,1.276546335963760990e+24,1.276143879255691551e+24,1.275238652049847132e+24,1.273514103374266197e+24,1.270611640329969693e+24,1.266173583168895799e+24,1.259884185257498496e+24,1.251500348168585167e+24,1.240868511189010265e+24,1.227928275203028395e+24,1.212705718446250917e+24,1.195300158110898596e+24,1.175867829501895805e+24,1.154605150885588150e+24,1.131733325274096387e+24,1.107485227967011042e+24,1.082094928697721086e+24
1.212121212121212120e-03,1.276720341462463101e+24,1.276685637449280456e+24,1.276538922454667376e+24,1.276122745543522997e+24,1.275191154307692096e+24,1.273423676025877245e+24,1.270459536497147873e+24,1.265941122375560701e+24,1.259554894958271218e+24,1.251061563440043907e+24,1.240312250816045351e+24,1.227251425179039110e+24,1.211909678390506166e+24,1.194390147009190583e+24,1.174852031965690939e+24,1.153493842931170132e+24,1.130538070686894846e+24,1.106218194457678144e+24,1.080768341809176345e+24
9.090909090909090901e-04,1.276720390637688204e+24,1.276686655636272371e+24,1.276543255871322895e+24,1.276135089455129829e+24,1.275218879986823638e+24,1.273476433031002495e+24,1.270548236327810580e+24,1.266076629252081552e+24,1.259746780718149619e+24,1.251317179249162503e+24,1.240636220431544925e+24,1.227645540901131475e+24,1.212373108780744424e+24,1.194919841986651055e+24,1.175443219956489213e+24,1.154140539391247397e+24,1.131233545220143087e+24,1.106955368073015004e+24,1.081540103992556936e+24
1.515151515151515150e-03,1.276720274393687789e+24,1.276684304932847026e+24,1.276533272926896966e+24,1.276106691045906880e+24,1.275155164256624303e+24,1.273355307009344451e+24,1.270344753047825400e+24,1.265765984823671288e+24,1.259307155430222344e+24,1.250731848537390514e+24,1.239894700546794596e+24,1.226743815663640337e+24,1.211313146949138895e+24,1.193708667044208478e+24,1.174091772548760037e+24,1.152662515962322455e+24,1.129644332601072073e+24,1.105271138340973587e+24,1.079777092685680888e+24
1.212121212121212120e-03,1.276720341462462564e+24,1.276685637449280188e+24,1.276538922454666571e+24,1.276122745543522997e+24,1.275191154307692096e+24,1.273423676025876976e+24,1.270459536497146262e+24,1.265941122375559628e+24,1.259554894958270949e+24,1.251061563440042565e+24,1.240312250816045351e+24,1.227251425179038036e+24,1.211909678390505898e+24,1.194390147009190583e+24,1.174852031965690939e+24,1.153493842931169460e+24,1.130538070686894846e+24,1.106218194457677741e+24,1.080768341809175674e+24
1.818181818181818180e-03,1.276720186316295233e+24,1.276682637446010479e+24,1.276526236315483938e+24,1.276086753660877406e+24,1.275110576935683817e+24,1.273270779842534656e+24,1.270203093621122766e+24,1.265550171342234704e+24,1.259002283070184546e+24,1.250326560763099912e+24,1.239381952167996130e+24,1.226121006274316522e+24,1.210581772510347127e+24,1.192873670574362277e+24,1.173160758296012546e+24,1.151644951675327801e+24,1.128550820554818948e+24,1.104112797926018240e+24,1.078565069409688224e+24
1.515151515151515150e-03,1.276720274393687252e+24,1.276684304932846489e+24,1.276533272926896429e+24,1.276106691045906880e+24,1.275155164256624571e+24,1.273355307009343645e+24,1.270344753047824864e+24,1.265765984823671020e+24,1.259307155430222076e+24,1.250731848537390514e+24,1.239894700546794864e+24,1.226743815663639532e+24,1.211313146949138626e+24,1.193708667044208478e+24,1.174091772548760037e+24,1.152662515962322455e+24,1.129644332601070999e+24,1.105271138340973184e+24,1.079777092685680217e+24
2.121212121212120993e-03,1.276720073330774568e+24,1.276680609758997975e+24,1.276517726771464754e+24,1.276062726912892436e+24,1.275056997208311588e+24,1.273169452800224463e+24,1.270033637302417983e+24,1.265292481588549642e+24,1.258638828503435204e+24,1.249844054923618051e+24,1.238772230427655570e+24,1.225381160263403776e+24,1.209713720679171141e+24,1.191883379934395734e+24,1.172057310942263444e+24,1.150439601856395050e+24,1.127256135960593544e+24,1.102741934369805989e+24,1.077131195412956232e+24
1.818181818181818180e-03,1.276720186316295233e+24,1.276682637446010747e+24,1.276526236315484206e+24,1.276086753660878212e+24,1.275110576935683012e+24,1.273270779842534119e+24,1.270203093621123303e+24,1.265550171342234972e+24,1.259002283070185351e+24,1.250326560763099644e+24,1.239381952167995861e+24,1.226121006274315985e+24,1.210581772510347932e+24,1.192873670574362948e+24,1.173160758296012680e+24,1.151644951675327666e+24,1.128550820554818412e+24,1.104112797926018240e+24,1.078565069409688492e+24
2.424242424242424240e-03,1.276719930666988549e+24,1.276678191363519716e+24,1.276507641187734403e+24,1.276034364321387386e+24,1.274993956101478125e+24,1.273050568535479283e+24,1.269835303364900669e+24,1.264991514993432501e+24,1.258215110698863111e+24,1.249282435037160928e+24,1.238063503677729777e+24,1.224522191857334813e+24,1.208706926614146722e+24,1.190735814379055912e+24,1.170779582688820013e+24,1.149044786018308191e+24,1.125758786794966089e+24,1.101157254084596437e+24,1.075474376624247381e+24
2.121212121212120993e-03,1.276720073330773763e+24,1.276680609758997438e+24,1.276517726771463949e+24,1.276062726912892167e+24,1.275056997208310514e+24,1.273169452800222853e+24,1.270033637302416909e+24,1.265292481588548568e+24,1.258638828503433862e+24,1.249844054923617782e+24,1.238772230427654228e+24,1.225381160263402702e+24,1.209713720679170335e+24,1.191883379934395600e+24,1.172057310942262907e+24,1.150439601856394782e+24,1.127256135960592470e+24,1.102741934369804915e+24,1.077131195412956098e+24
2.727272727272727487e-03,1.276719752590516153e+24,1.276675345900900769e+24,1.276495857455830309e+24,1.276001375618370405e+24,1.274920904160033089e+24,1.272913243932810541e+24,1.269606837185246052e+24,1.264645652439112113e+24,1.257729194169265839e+24,1.248639526836815348e+24,1.237253451482745153e+24,1.223541728824515052e+24,1.207559052493727428e+24,1.189428742497996364e+24,1.169325503736874443e+24,1.147458634336366213e+24,1.124057126317772056e+24,1.099357343693887043e+24,1.073593433163058584e+24
2.424242424242424240e-03,1.276719930666988280e+24,1.276678191363518911e+24,1.276507641187734135e+24,1.276034364321386849e+24,1.274993956101477856e+24,1.273050568535478746e+24,1.269835303364900132e+24,1.264991514993432233e+24,1.258215110698862037e+24,1.249282435037160123e+24,1.238063503677730046e+24,1.224522191857334276e+24,1.208706926614146722e+24,1.190735814379056314e+24,1.170779582688819342e+24,1.149044786018307923e+24,1.125758786794965820e+24,1.101157254084596437e+24,1.075474376624247650e+24
3.030303030303030300e-03,1.276719532293036158e+24,1.276672030552682108e+24,1.276482232712499311e+24,1.275963423184175847e+24,1.274837205660885322e+24,1.272756462075959776e+24,1.269346800262382092e+24,1.264253044772994156e+24,1.257178876393448358e+24,1.247912864372758071e+24,1.236339450501745414e+24,1.222437097592587163e+24,1.206267471736378111e+24,1.187959665376498593e+24,1.167692764242984720e+24,1.145679068297982003e+24,1.122149332373296548e+24,1.097340648001451919e+24,1.071487076044733132e+24
2.727272727272727487e-03,1.276719752590515885e+24,1.276675345900901038e+24,1.276495857455831114e+24,1.276001375618371747e+24,1.274920904160033357e+24,1.272913243932810541e+24,1.269606837185246858e+24,1.264645652439113186e+24,1.257729194169265570e+24,1.248639526836813737e+24,1.237253451482745153e+24,1.223541728824515589e+24,1.207559052493727965e+24,1.189428742497996498e+24,1.169325503736874308e+24,1.147458634336366750e+24,1.124057126317772191e+24,1.099357343693888117e+24,1.073593433163058987e+24
3.333333333333333114e-03,1.276719261762857499e+24,1.276668195347036551e+24,1.276466601396129673e+24,1.275920118215711079e+24,1.274742132628802096e+24,1.272579064348785909e+24,1.269053561033043099e+24,1.263811603120515159e+24,1.256561678329682078e+24,1.247099681205924403e+24,1.235318566575976674e+24,1.221205316211759047e+24,1.204829262659773641e+24,1.186325810685999705e+24,1.165878808555643516e+24,1.143703794823639576e+24,1.120033401182720344e+24,1.095105463301039200e+24,1.069153899911205330e+24
3.030303030303030300e-03,1.276719532293035890e+24,1.276672030552682645e+24,1.276482232712499848e+24,1.275963423184176653e+24,1.274837205660886396e+24,1.272756462075960044e+24,1.269346800262382629e+24,1.264253044772994692e+24,1.257178876393449163e+24,1.247912864372757803e+24,1.236339450501745682e+24,1.222437097592588505e+24,1.206267471736378380e+24,1.187959665376498995e+24,1.167692764242984988e+24,1.145679068297982137e+24,1.122149332373296816e+24,1.097340648001452590e+24,1.071487076044733267e+24
3.636363636363636360e-03,1.276718931632434239e+24,1.276663782358026866e+24,1.276448773038271650e+24,1.275871016447260303e+24,1.274634858290204377e+24,1.272379742018681977e+24,1.268725285425044464e+24,1.263318989402738405e+24,1.255874835774025564e+24,1.246196903200428416e+24,1.234187549220902734e+24,1.219843090525954582e+24,1.203241206108786040e+24,1.184524131435164908e+24,1.163880834720062956e+24,1.141530306173771400e+24,1.117707147350698050e+24,1.092649937243315240e+24,1.066592382583816285e+24
