x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s
3.030303030303030300e-04,1.379988734175570496e+24,1.378260128758449649e+24,1.373332433708511335e+24,1.363177843373323596e+24,1.346145541032713753e+24,1.321359550052419953e+24,1.288804917384696629e+24,1.249180440148924198e+24,1.203649099172727895e+24
0.000000000000000000e+00,1.379988954704768003e+24,1.378261302141460580e+24,1.373335778890516116e+24,1.363184737269945721e+24,1.346157104751491263e+24,1.321376378665886636e+24,1.288827021311437049e+24,1.249207345088222051e+24,1.203680015541909796e+24
6.060606060606060601e-04,1.379986398484053893e+24,1.378247705415681944e+24,1.373297025503955448e+24,1.363104888490846327e+24,1.346023189580704983e+24,1.321181518906761096e+24,1.288571106386968580e+24,1.248895872713629641e+24,1.203322129516974515e+24
3.030303030303030300e-04,1.379988734175570496e+24,1.378260128758448307e+24,1.373332433708510261e+24,1.363177843373324401e+24,1.346145541032713753e+24,1.321359550052419416e+24,1.288804917384695555e+24,1.249180440148923124e+24,1.203649099172727358e+24
9.090909090909090901e-04,1.379982704160626352e+24,1.378228078112082225e+24,1.373241135507491021e+24,1.362989818855696017e+24,1.345830326832082509e+24,1.320901029748121992e+24,1.288202887285220361e+24,1.248447869090257237e+24,1.202807509733172557e+24
6.060606060606060601e-04,1.379986398484052820e+24,1.378247705415681944e+24,1.373297025503955180e+24,1.363104888490846058e+24,1.346023189580704177e+24,1.321181518906761364e+24,1.288571106386968043e+24,1.248895872713629373e+24,1.203322129516974246e+24
1.212121212121212120e-03,1.379977526092036915e+24,1.378200614320959358e+24,1.373163034510776718e+24,1.362829196441974582e+24,1.345561359177052592e+24,1.320510148545303460e+24,1.287690059483797806e+24,1.247824230593703503e+24,1.202091424176312223e+24
9.090909090909090901e-04,1.379982704160624741e+24,1.378228078112081688e+24,1.373241135507490216e+24,1.362989818855695481e+24,1.345830326832082241e+24,1.320901029748121186e+24,1.288202887285219288e+24,1.248447869090255895e+24,1.202807509733172155e+24
1.515151515151515150e-03,1.379970808477303553e+24,1.378165063985634168e+24,1.373062113685734915e+24,1.362621942444841318e+24,1.345214719013225048e+24,1.320006881373807840e+24,1.287030310608266213e+24,1.247022444461613283e+24,1.201171265166849448e+24
1.212121212121212120e-03,1.379977526092036915e+24,1.378200614320959358e+24,1.373163034510776181e+24,1.362829196441973508e+24,1.345561359177052324e+24,1.320510148545303191e+24,1.287690059483795927e+24,1.247824230593703235e+24,1.202091424176311418e+24
1.818181818181818180e-03,1.379962492009872332e+24,1.378121173274214038e+24,1.372937785848301353e+24,1.362367076447553266e+24,1.344789076583483217e+24,1.319389665752537377e+24,1.286221984941775396e+24,1.246040884958517451e+24,1.200045524978595264e+24
1.515151515151515150e-03,1.379970808477303553e+24,1.378165063985633899e+24,1.373062113685735452e+24,1.362621942444839976e+24,1.345214719013224511e+24,1.320006881373807572e+24,1.287030310608265944e+24,1.247022444461612478e+24,1.201171265166849046e+24
2.121212121212120993e-03,1.379952506367962933e+24,1.378068645755344491e+24,1.372789376821234586e+24,1.362063495220143168e+24,1.344282971720878165e+24,1.318656837137163656e+24,1.285263384467548620e+24,1.244877963734030685e+24,1.198712820092337859e+24
1.818181818181818180e-03,1.379962492009872332e+24,1.378121173274214307e+24,1.372937785848302695e+24,1.362367076447553803e+24,1.344789076583483217e+24,1.319389665752537109e+24,1.286221984941776201e+24,1.246040884958517719e+24,1.200045524978595936e+24
2.424242424242424240e-03,1.379940768024261758e+24,1.378007132156306152e+24,1.372616098764205979e+24,1.361709921044423808e+24,1.343694730551439701e+24,1.317806510597913581e+24,1.284152615575827763e+24,1.243531944544181428e+24,1.197171678925929457e+24
