x,t=2.00e+03s,t=4.00e+03s,t=6.00e+03s
3.030303030303030300e-04,2.709319275862971908e+23,3.833012753550884313e+22,4.890171148422879379e+21
0.000000000000000000e+00,2.709397720879381946e+23,3.833177231313941089e+22,4.890407612023428874e+21
6.060606060606060601e-04,2.708489806222844588e+23,3.831273722172677082e+22,4.887671099386870366e+21
3.030303030303030300e-04,2.709319275862970901e+23,3.833012753550882636e+22,4.890171148422870991e+21
9.090909090909090901e-04,2.707185161731453097e+23,3.828539213327455434e+22,4.883740438757677990e+21
6.060606060606060601e-04,2.708489806222842575e+23,3.831273722172676243e+22,4.887671099386866172e+21
1.212121212121212120e-03,2.705371537808349840e+23,3.824739441753873134e+22,4.878279558447874703e+21
9.090909090909090901e-04,2.707185161731451419e+23,3.828539213327456272e+22,4.883740438757674844e+21
1.515151515151515150e-03,2.703044044390995927e+23,3.819865668149270754e+22,4.871276888752615588e+21
1.212121212121212120e-03,2.705371537808347827e+23,3.824739441753872296e+22,4.878279558447871558e+21
1.818181818181818180e-03,2.700201069554704245e+23,3.813916459706750075e+22,4.862731646182650544e+21
1.515151515151515150e-03,2.703044044390993913e+23,3.819865668149268238e+22,4.871276888752614539e+21
2.121212121212120993e-03,2.696841799298655181e+23,3.806892490372886089e+22,4.852646356433279910e+21
1.818181818181818180e-03,2.700201069554704916e+23,3.813916459706752591e+22,4.862731646182653690e+21
2.424242424242424240e-03,2.692965673145611667e+23,3.798795399800198634e+22,4.841025211838131864e+21
2.121212121212120993e-03,2.696841799298653838e+23,3.806892490372885250e+22,4.852646356433274667e+21
2.727272727272727487e-03,2.688572214441169220e+23,3.789627438047835875e+22,4.827873558099527729e+21
2.424242424242424240e-03,2.692965673145609319e+23,3.798795399800198634e+22,4.841025211838130815e+21
3.030303030303030300e-03,2.683660965188558242e+23,3.779391329570955828e+22,4.813197695917324501e+21
2.727272727272727487e-03,2.688572214441168549e+23,3.789627438047836714e+22,4.827873558099530875e+21
3.333333333333333114e-03,2.678231457217319786e+23,3.768090213489946342e+22,4.797004791910972260e+21
3.030303030303030300e-03,2.683660965188558242e+23,3.779391329570955828e+22,4.813197695917323452e+21
3.636363636363636360e-03,2.672283198029826684e+23,3.755727614727717231e+22,4.779302833543548240e+21
3.333333333333333114e-03,2.678231457217318109e+23,3.768090213489945923e+22,4.797004791910969115e+21
3.939393939393939607e-03,2.665815663270363073e+23,3.742307429122914963e+22,4.760100603759530344e+21
3.636363636363636360e-03,2.672283198029826349e+23,3.755727614727717650e+22,4.779302833543541948e+21
4.242424242424241987e-03,2.658828292447743980e+23,3.727833915453874792e+22,4.739407665176817697e+21
3.939393939393939607e-03,2.665815663270363409e+23,3.742307429122912027e+22,4.760100603759526150e+21
4.545454545454545234e-03,2.651320486368330478e+23,3.712311691137221499e+22,4.717234349178357809e+21
4.242424242424241987e-03,2.658828292447744987e+23,3.727833915453876889e+22,4.739407665176818745e+21
4.848484848484848481e-03,2.643291605518974829e+23,3.695745730006311397e+22,4.693591747608860164e+21
4.545454545454545234e-03,2.651320486368330478e+23,3.712311691137223177e+22,4.717234349178357809e+21
5.151515151515151728e-03,2.634740969002146432e+23,3.678141361335585210e+22,4.668491705875634848e+21
4.848484848484848481e-03,2.643291605518973487e+23,3.695745730006308880e+22,4.693591747608860164e+21
5.454545454545454974e-03,2.625667853804284810e+23,3.659504269651694374e+22,4.641946816791543022e+21
5.151515151515151728e-03,2.634740969002143077e+23,3.678141361335581016e+22,4.668491705875633275e+21
5.757575757575757354e-03,2.616071494271705557e+23,3.639840495068143996e+22,4.613970414779266761e+21
5.454545454545454974e-03,2.625667853804282126e+23,3.659504269651694374e+22,4.641946816791540400e+21
6.060606060606060601e-03,2.605951081719153327e+23,3.619156433986421942e+22,4.584576570209251885e+21
5.757575757575757354e-03,2.616071494271705557e+23,3.639840495068144416e+22,4.613970414779267809e+21
6.363636363636363848e-03,2.595305764124883314e+23,3.597458840067289330e+22,4.553780083730123063e+21
6.060606060606060601e-03,2.605951081719151314e+23,3.619156433986420264e+22,4.584576570209247691e+21
6.666666666666666227e-03,2.584134645883112427e+23,3.574754825411174701e+22,4.521596480501593407e+21
6.363636363636363848e-03,2.595305764124882643e+23,3.597458840067285975e+22,4.553780083730116772e+21
6.969696969696969474e-03,2.572436787594862097e+23,3.551051861908241200e+22,4.488042004270426882e+21
6.666666666666666227e-03,2.584134645883113770e+23,3.574754825411175540e+22,4.521596480501594456e+21
7.272727272727272721e-03,2.560211205884608806e+23,3.526357782732003397e+22,4.453133611249178771e+21
6.969696969696969474e-03,2.572436787594861761e+23,3.551051861908241200e+22,4.488042004270424261e+21
7.575757575757575968e-03,2.547456873234225892e+23,3.500680783958867601e+22,4.416888963769544212e+21
7.272727272727272721e-03,2.560211205884608470e+23,3.526357782732000461e+22,4.453133611249178771e+21
7.878787878787879215e-03,2.534172717828262718e+23,3.474029426301547944e+22,4.379326423689888006e+21
7.575757575757575968e-03,2.547456873234224885e+23,3.500680783958868020e+22,4.416888963769542640e+21
8.181818181818182462e-03,2.520357623406519585e+23,3.446412636948079523e+22,4.340465045542010880e+21
7.878787878787879215e-03,2.534172717828260705e+23,3.474029426301546686e+22,4.379326423689885385e+21
8.484848484848483974e-03,2.506010429120874325e+23,3.417839711500485683e+22,4.300324569405236183e+21
8.181818181818182462e-03,2.520357623406517908e+23,3.446412636948078264e+22,4.340465045542010880e+21
8.787878787878787221e-03,2.491129929394297315e+23,3.388320316009067892e+22,4.258925413498585350e+21
8.484848484848483974e-03,2.506010429120874996e+23,3.417839711500484844e+22,4.300324569405231989e+21
9.090909090909090468e-03,2.475714873780387594e+23,3.357864489099351556e+22,4.216288666483252265e+21
8.787878787878787221e-03,2.491129929394296308e+23,3.388320316009064956e+22,4.258925413498580632e+21
9.393939393939393714e-03,2.459763966822407670e+23,3.326482644189643067e+22,4.172436079468677693e+21
9.090909090909090468e-03,2.475714873780387929e+23,3.357864489099350298e+22,4.216288666483251216e+21
9.696969696969696961e-03,2.443275867910813421e+23,3.294185571797805144e+22,4.127390057716398948e+21
9.393939393939393714e-03,2.459763966822406328e+23,3.326482644189640550e+22,4.172436079468677693e+21
1.000000000000000021e-02,2.426249191138662673e+23,3.260984441936271534e+22,4.081173652036176052e+21
9.696969696969696961e-03,2.443275867910810737e+23,3.294185571797801789e+22,4.127390057716396851e+21
1.030303030303030346e-02,2.408682505154426002e+23,3.226890806594595140e+22,4.033810549869400556e+21
1.000000000000000021e-02,2.426249191138660660e+23,3.260984441936267759e+22,4.081173652036172382e+21
1.060606060606060670e-02,2.390574333011734687e+23,3.191916602309254054e+22,3.985325066054879674e+21
1.030303030303030346e-02,2.408682505154425331e+23,3.226890806594591785e+22,4.033810549869400556e+21
1.090909090909090995e-02,2.371923152015783614e+23,3.156074152820455820e+22,3.935742133272325390e+21
1.060606060606060670e-02,2.390574333011733009e+23,3.191916602309250698e+22,3.985325066054874956e+21
1.121212121212121146e-02,2.352727393566156286e+23,3.119376171815899706e+22,3.885087292158902796e+21
1.090909090909090995e-02,2.371923152015783950e+23,3.156074152820456240e+22,3.935742133272322245e+21
1.151515151515151471e-02,2.332985442995857491e+23,3.081835765761640812e+22,3.833386681094198788e+21
1.121212121212121146e-02,2.352727393566155950e+23,3.119376171815899706e+22,3.885087292158903321e+21
1.181818181818181795e-02,2.312695639406353014e+23,3.043466436820144121e+22,3.780667025648910336e+21
1.151515151515151471e-02,2.332985442995855478e+23,3.081835765761639553e+22,3.833386681094195642e+21
1.212121212121212120e-02,2.291856275498565013e+23,3.004282085855830055e+22,3.726955627692720914e+21
1.181818181818181795e-02,2.312695639406351001e+23,3.043466436820142024e+22,3.780667025648906142e+21
1.242424242424242445e-02,2.270465597399638213e+23,2.964297015528428614e+22,3.672280354156448842e+21
1.212121212121212120e-02,2.291856275498563671e+23,3.004282085855826700e+22,3.726955627692718817e+21
1.272727272727272770e-02,2.248521804485401384e+23,2.923525933474451659e+22,3.616669625443712238e+21
1.242424242424242445e-02,2.270465597399638213e+23,2.964297015528425678e+22,3.672280354156446745e+21
1.303030303030303094e-02,2.226023049198474478e+23,2.881983955577277409e+22,3.560152403487271944e+21
1.272727272727272770e-02,2.248521804485400713e+23,2.923525933474449562e+22,3.616669625443711713e+21
1.333333333333333245e-02,2.202967436861889860e+23,2.839686609326165931e+22,3.502758179444820541e+21
1.303030303030303094e-02,2.226023049198474143e+23,2.881983955577277409e+22,3.560152403487271420e+21
1.363636363636363570e-02,2.179353025488249464e+23,2.796649837264860768e+22,3.444516961029377229e+21
1.333333333333333245e-02,2.202967436861889525e+23,2.839686609326165511e+22,3.502758179444820017e+21
1.393939393939393895e-02,2.155177825584273246e+23,2.752890000530101345e+22,3.385459259468737937e+21
1.363636363636363570e-02,2.179353025488247786e+23,2.796649837264859510e+22,3.444516961029374607e+21
1.424242424242424220e-02,2.130439799950770480e+23,2.708423882480716821e+22,3.325616076088906088e+21
1.393939393939393895e-02,2.155177825584271904e+23,2.752890000530097989e+22,3.385459259468736889e+21
1.454545454545454544e-02,2.105136863477913763e+23,2.663268692417813519e+22,3.265018888515756229e+21
1.424242424242424220e-02,2.130439799950769473e+23,2.708423882480714305e+22,3.325616076088903467e+21
1.484848484848484869e-02,2.079266882935839565e+23,2.617442069396625503e+22,3.203699636489502589e+21
1.454545454545454544e-02,2.105136863477911414e+23,2.663268692417811002e+22,3.265018888515754131e+21
1.515151515151515194e-02,2.052827676760500821e+23,2.570962086130682220e+22,3.141690707286129902e+21
1.484848484848484869e-02,2.079266882935836880e+23,2.617442069396622567e+22,3.203699636489502065e+21
1.545454545454545518e-02,2.025817014834738024e+23,2.523847252988858571e+22,3.079024920739814834e+21
1.515151515151515194e-02,2.052827676760500485e+23,2.570962086130678864e+22,3.141690707286126232e+21
1.575757575757575843e-02,1.998232618264509075e+23,2.476116522086021307e+22,3.015735513860544659e+21
1.545454545454545518e-02,2.025817014834736681e+23,2.523847252988857313e+22,3.079024920739811688e+21
1.606060606060605994e-02,1.970072159150339648e+23,2.427789291467908841e+22,2.951856125040502768e+21
1.575757575757575843e-02,1.998232618264509075e+23,2.476116522086021726e+22,3.015735513860543087e+21
1.636363636363636492e-02,1.941333260353817564e+23,2.378885409390927335e+22,2.887420777843073221e+21
1.606060606060605994e-02,1.970072159150339648e+23,2.427789291467908841e+22,2.951856125040501719e+21
1.666666666666666644e-02,1.912013495259232500e+23,2.329425178697556348e+22,2.822463864367910748e+21
1.636363636363636492e-02,1.941333260353820584e+23,2.378885409390928173e+22,2.887420777843075318e+21
1.696969696969696795e-02,1.882110387530219462e+23,2.279429361288142127e+22,2.757020128185538314e+21
1.666666666666666644e-02,1.912013495259235185e+23,2.329425178697556768e+22,2.822463864367913894e+21
1.727272727272727293e-02,1.851621410861448262e+23,2.228919182689701777e+22,2.691124646834584682e+21
1.696969696969696795e-02,1.882110387530220469e+23,2.279429361288140869e+22,2.757020128185540411e+21
1.757575757575757444e-02,1.820543988725308027e+23,2.177916336722707218e+22,2.624812813874944279e+21
1.727272727272727293e-02,1.851621410861450275e+23,2.228919182689703454e+22,2.691124646834586780e+21
1.787878787878787942e-02,1.788875494113548813e+23,2.126442990266350567e+22,2.558120320489591669e+21
