x,t=3.56e+04s,t=7.11e+04s,t=1.07e+05s,t=1.42e+05s
3.030303030303030300e-04,1.585845061475940140e+23,1.051534817023438356e+21,6.301081307997711360e+18,3.667007844130021600e+16
0.000000000000000000e+00,1.585894080176007057e+23,1.051581322144659800e+21,6.301389872958223360e+18,3.667192777305895200e+16
6.060606060606060601e-04,1.585326751092655459e+23,1.051043120999919518e+21,6.297818972050665472e+18,3.665052640600620000e+16
3.030303030303030300e-04,1.585845061475938127e+23,1.051534817023437308e+21,6.301081307997702144e+18,3.667007844130016800e+16
9.090909090909090901e-04,1.584511563559610362e+23,1.050269988703850201e+21,6.292689905776226304e+18,3.661978776306496800e+16
6.060606060606060601e-04,1.585326751092654117e+23,1.051043120999918469e+21,6.297818972050658304e+18,3.665052640600616000e+16
1.212121212121212120e-03,1.583378440590744260e+23,1.049195726907443905e+21,6.285564255413724160e+18,3.657708598824961600e+16
9.090909090909090901e-04,1.584511563559608349e+23,1.050269988703849021e+21,6.292689905776219136e+18,3.661978776306492800e+16
1.515151515151515150e-03,1.581924417151980934e+23,1.047817917335617274e+21,6.276427097911116800e+18,3.652233403408202400e+16
1.212121212121212120e-03,1.583378440590741912e+23,1.049195726907442856e+21,6.285564255413716992e+18,3.657708598824956800e+16
1.818181818181818180e-03,1.580148602577964352e+23,1.046136222519508992e+21,6.265277634457600000e+18,3.645553017786745600e+16
1.515151515151515150e-03,1.581924417151978585e+23,1.047817917335616094e+21,6.276427097911110656e+18,3.652233403408197600e+16
2.121212121212120993e-03,1.578050630760820166e+23,1.044150915513007342e+21,6.252119433090970624e+18,3.637669953541635200e+16
1.818181818181818180e-03,1.580148602577963010e+23,1.046136222519509123e+21,6.265277634457598976e+18,3.645553017786744800e+16
2.424242424242424240e-03,1.575630319976440786e+23,1.041862557150953079e+21,6.236958284666390528e+18,3.628588120213285600e+16
2.121212121212120993e-03,1.578050630760817817e+23,1.044150915513006948e+21,6.252119433090968576e+18,3.637669953541632000e+16
2.727272727272727487e-03,1.572887566856797039e+23,1.039271895452873916e+21,6.219801532325639168e+18,3.618312422368784800e+16
2.424242424242424240e-03,1.575630319976439444e+23,1.041862557150952423e+21,6.236958284666389504e+18,3.628588120213281600e+16
3.030303030303030300e-03,1.569822305688201430e+23,1.036379827008848658e+21,6.200657811766512640e+18,3.606848602723004000e+16
2.727272727272727487e-03,1.572887566856796032e+23,1.039271895452873654e+21,6.219801532325641216e+18,3.618312422368784800e+16
3.333333333333333114e-03,1.566434490417163492e+23,1.033187379912369373e+21,6.179536934023002112e+18,3.594203170514540000e+16
3.030303030303030300e-03,1.569822305688200759e+23,1.036379827008848527e+21,6.200657811766512640e+18,3.606848602723004800e+16
3.636363636363636360e-03,1.562724085831548535e+23,1.029695705400522441e+21,6.156449825552983040e+18,3.580383364073753200e+16
3.333333333333333114e-03,1.566434490417162150e+23,1.033187379912368325e+21,6.179536934022994944e+18,3.594203170514538800e+16
3.939393939393939607e-03,1.558691062882364713e+23,1.025906073424137814e+21,6.131408493939352576e+18,3.565397128589656400e+16
3.636363636363636360e-03,1.562724085831548199e+23,1.029695705400521523e+21,6.156449825552978944e+18,3.580383364073751200e+16
4.242424242424241987e-03,1.554335396042008502e+23,1.021819870151503380e+21,6.104426005951525888e+18,3.549253101135453600e+16
3.939393939393939607e-03,1.558691062882363035e+23,1.025906073424137552e+21,6.131408493939346432e+18,3.565397128589653200e+16
4.545454545454545234e-03,1.549657061733568317e+23,1.017438596489443410e+21,6.075516471894526976e+18,3.531960599312729600e+16
4.242424242424241987e-03,1.554335396042008502e+23,1.021819870151503380e+21,6.104426005951525888e+18,3.549253101135453200e+16
4.848484848484848481e-03,1.544656037356909804e+23,1.012763867171622748e+21,6.044695033250819072e+18,3.513529611723944400e+16
4.545454545454545234e-03,1.549657061733566975e+23,1.017438596489442361e+21,6.075516471894524928e+18,3.531960599312727600e+16
5.151515151515151728e-03,1.539332300662310563e+23,1.007797410177688928e+21,6.011977852053043200e+18,3.493970789340225200e+16
4.848484848484848481e-03,1.544656037356908797e+23,1.012763867171622224e+21,6.044695033250820096e+18,3.513529611723943200e+16
5.454545454545454974e-03,1.533685829335157278e+23,1.002541066353609277e+21,5.977382101121726464e+18,3.473295437247972800e+16
5.151515151515151728e-03,1.539332300662308214e+23,1.007797410177688011e+21,6.011977852053043200e+18,3.493970789340223200e+16
5.757575757575757354e-03,1.527716600712884556e+23,9.969967891586537226e+20,5.940925954677804032e+18,3.451515506482163200e+16
5.454545454545454974e-03,1.533685829335156271e+23,1.002541066353608884e+21,5.977382101121725440e+18,3.473295437247970800e+16
6.060606060606060601e-03,1.521424591587946990e+23,9.911666444945989304e+20,5.902628579032595456e+18,3.428643585774383600e+16
5.757575757575757354e-03,1.527716600712885562e+23,9.969967891586539848e+20,5.940925954677800960e+18,3.451515506482163600e+16
6.363636363636363848e-03,1.514809778067199251e+23,9.850528105897590784e+20,5.862510123171898368e+18,3.404692893108532800e+16
6.060606060606060601e-03,1.521424591587946990e+23,9.911666444945978819e+20,5.902628579032590336e+18,3.428643585774383600e+16
6.666666666666666227e-03,1.507872135470009895e+23,9.786575779206460867e+20,5.820591709124303872e+18,3.379677267019740800e+16
6.363636363636363848e-03,1.514809778067198244e+23,9.850528105897578988e+20,5.862510123171890176e+18,3.404692893108532000e+16
