x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s
3.030303030303030300e-04,1.103120886971236115e+11,1.130763694871023242e+13,1.818733834783805000e+14,1.171060007599393250e+15,4.452460170856060500e+15,1.219196471525890400e+16,2.700192183399924800e+16,5.232845878599693600e+16,9.444601599805507200e+16,1.670558198281576960e+17,2.990019012186749440e+17,5.446031413398061440e+17,9.950200558019833600e+17,1.788489784666088960e+18,3.117406943953750528e+18,5.230945558514381824e+18
0.000000000000000000e+00,1.100636987482198639e+11,1.128984195653340039e+13,1.816678763865894688e+14,1.170079788531173750e+15,4.449610587379847000e+15,1.218580526111959800e+16,2.699074680975111200e+16,5.230977247900961600e+16,9.441477291605700800e+16,1.670008793982254400e+17,2.989005925082586880e+17,5.444145271854265600e+17,9.946780684471799040e+17,1.787897587552314880e+18,3.116433618380994048e+18,5.229425686274168832e+18
6.060606060606060601e-04,1.129522819995467834e+11,1.149645660608435938e+13,1.840515680798758438e+14,1.181442046693340500e+15,4.482627799167317500e+15,1.225715353428299000e+16,2.712017258218682800e+16,5.252617962196903200e+16,9.477661267364009600e+16,1.676372122586727040e+17,3.000740217445349760e+17,5.465991717645763200e+17,9.986390027919627520e+17,1.794756069981949440e+18,3.127705398137247232e+18,5.247025788262301696e+18
3.030303030303030300e-04,1.103120886971234589e+11,1.130763694871022852e+13,1.818733834783802188e+14,1.171060007599392250e+15,4.452460170856057500e+15,1.219196471525889600e+16,2.700192183399922400e+16,5.232845878599689600e+16,9.444601599805504000e+16,1.670558198281575040e+17,2.990019012186745600e+17,5.446031413398053760e+17,9.950200558019824640e+17,1.788489784666087424e+18,3.117406943953748992e+18,5.230945558514382848e+18
9.090909090909090901e-04,1.171795482292507324e+11,1.179700408559427734e+13,1.875055413496665312e+14,1.197865101755669250e+15,4.530274151207675000e+15,1.236000740694936800e+16,2.730663582652724800e+16,5.283789007945339200e+16,9.529786886846436800e+16,1.685541379950374720e+17,3.017651443215051520e+17,5.497475362132117760e+17,1.004346281676258432e+18,1.804636141648863744e+18,3.143939164544756736e+18,5.272367797017228288e+18
6.060606060606060601e-04,1.129522819995467072e+11,1.149645660608434961e+13,1.840515680798756250e+14,1.181442046693339250e+15,4.482627799167315000e+15,1.225715353428297800e+16,2.712017258218679200e+16,5.252617962196894400e+16,9.477661267364008000e+16,1.676372122586725120e+17,3.000740217445347200e+17,5.465991717645756800e+17,9.986390027919617280e+17,1.794756069981947904e+18,3.127705398137244160e+18,5.247025788262302720e+18
1.212121212121212120e-03,1.232114038609109344e+11,1.222217846239924219e+13,1.923647791939843438e+14,1.220887887231443750e+15,4.596913446065514000e+15,1.250364665312039200e+16,2.756681122659740400e+16,5.327269262273898400e+16,9.602509911779516800e+16,1.698338729459011520e+17,3.041259421378561280e+17,5.541424280426514560e+17,1.012311312642973696e+18,1.818420149629074944e+18,3.166579526802934272e+18,5.307699128220071936e+18
9.090909090909090901e-04,1.171795482292506256e+11,1.179700408559426562e+13,1.875055413496664062e+14,1.197865101755668000e+15,4.530274151207672000e+15,1.236000740694934800e+16,2.730663582652720000e+16,5.283789007945331200e+16,9.529786886846435200e+16,1.685541379950373440e+17,3.017651443215046400e+17,5.497475362132112640e+17,1.004346281676257152e+18,1.804636141648861440e+18,3.143939164544751616e+18,5.272367797017223168e+18
1.515151515151515150e-03,1.312209218254411011e+11,1.278046808658256055e+13,1.986994112924169688e+14,1.250761623472044000e+15,4.683121483050122000e+15,1.268910247974447800e+16,2.790234503907034400e+16,5.383321099427920800e+16,9.696282575259224000e+16,1.714848525271641920e+17,3.071724924868995840e+17,5.598135629256772480e+17,1.022586055000575744e+18,1.836193560039533056e+18,3.195759137260472320e+18,5.353215245840839680e+18
1.212121212121212120e-03,1.232114038609108124e+11,1.222217846239923633e+13,1.923647791939840938e+14,1.220887887231442750e+15,4.596913446065509000e+15,1.250364665312038400e+16,2.756681122659736400e+16,5.327269262273892800e+16,9.602509911779516800e+16,1.698338729459010560e+17,3.041259421378557440e+17,5.541424280426508160e+17,1.012311312642972928e+18,1.818420149629072640e+18,3.166579526802929152e+18,5.307699128220066816e+18
