x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
2.040816326530612004e-08,1.801426784891372500e+14,1.809394334257682812e+14,1.822464499449330000e+14
0.000000000000000000e+00,1.838152232121176875e+14,1.838152232121176875e+14,1.838152232121177188e+14
4.081632653061224008e-08,1.764701337983500938e+14,1.780636436413086562e+14,1.806776766777481875e+14
2.040816326530612004e-08,1.801426784891371875e+14,1.809394334257680625e+14,1.822464499449329062e+14
6.122448979591836674e-08,1.727975891719498750e+14,1.751878538606287812e+14,1.791089034105635312e+14
4.081632653061224008e-08,1.764701337983500938e+14,1.780636436413084688e+14,1.806776766777480938e+14
8.163265306122448016e-08,1.691250446421300938e+14,1.723120640856188125e+14,1.775401301433788125e+14
6.122448979591836674e-08,1.727975891719498750e+14,1.751878538606287500e+14,1.791089034105634375e+14
1.020408163265305936e-07,1.654525002410839375e+14,1.694362743181687812e+14,1.759713568761944375e+14
8.163265306122448016e-08,1.691250446421300625e+14,1.723120640856188750e+14,1.775401301433788438e+14
1.224489795918367335e-07,1.617799560010050000e+14,1.665604845601684375e+14,1.744025836090099688e+14
1.020408163265305936e-07,1.654525002410839375e+14,1.694362743181685625e+14,1.759713568761943125e+14
1.428571428571428469e-07,1.581074119540864062e+14,1.636846948135077812e+14,1.728338103418259688e+14
1.224489795918367335e-07,1.617799560010050312e+14,1.665604845601684062e+14,1.744025836090100625e+14
1.632653061224489603e-07,1.544348681325211875e+14,1.608089050800768438e+14,1.712650370746420938e+14
1.428571428571428469e-07,1.581074119540864375e+14,1.636846948135078125e+14,1.728338103418259688e+14
1.836734693877550737e-07,1.507623245685026250e+14,1.579331153617655625e+14,1.696962638074584062e+14
1.632653061224489603e-07,1.544348681325212500e+14,1.608089050800769062e+14,1.712650370746420625e+14
2.040816326530611872e-07,1.470897812942234375e+14,1.550573256604638750e+14,1.681274905402750625e+14
1.836734693877550737e-07,1.507623245685027188e+14,1.579331153617657188e+14,1.696962638074584062e+14
